cluster
7DyDjhZMEIK5Ied4juTCyc,1
7jYwZOptDPesQgzj7vhsEF,14
11eYmv0tA3wEoyD1Sad2Nv,9
54eE5H6F1HhyM5L4fRLq8s,10
0yLdNVWF3Srea0uzk55zFn,10
07gGSxcPN5iEnszYgtx73S,7
3zkyus0njMCL6phZmNNEeN,2
4YxZQd3I4rj1nqkXgvpCk4,14
28eI53WyFJVjjQwSnWTh9K,2
6N1c56ff1CRrhAiNwIfgaz,3
6nYJWAPKIJfXIKtiYc4P4O,13
4AdhQGPnOKrH0EJWXc2EEM,2
6kvW6EI5UuqCmlp7L7HD9O,10
2dHHgzDwk4BJdRwy9uXhTO,7
5ZduaRci3iNUiDfJbBfAaf,10
07VcTAooOBP8hIluuUS5xr,10
1z9NVyu6rOFQR57vA94xbR,10
2xIHVoglz5mLrNf145RieQ,1
4sx6NRwL6Ol3V6m9exwGlQ,1
7lkYdyKCN44Lc5saKwIGhP,9
53vyWY4myvD6qPh1z54Itx,7
2IvrIIvwA3zEPXmJitBlJD,2
4tQA4uDHh6iPaQLWaxeQqH,1
4tRhRLBxIZ34Iw0eCuiC03,3
6BePGk3eCan4FqaW2X8Qy3,10
34FFsLy4HDUjnnDMjGXEvU,1
2IEsTp4cFNOZVBNshXLB6k,2
6HNyXYZijMzIdykDQRLC9N,1
1AmHFe9qiR4ydvHRMQgMnY,10
0WtM2NBVQNNJLh6scP13H8,10
47gFO4wiq9rLJo9vz0DP3q,10
0C3shWEOObGT5IxApC7Mkg,3
5YdnOm5990Kfq1Jodws98B,14
7gK3S5NIkw1KdvdnUU1O5z,2
3rb0tMq42WfggucPm0HHkA,10
373gDROnujxNTFa1FojYIl,14
5BfAcaTKnD5s6hkwrK6EhQ,2
5reUV4Jv5GBY1W15E4J9w9,10
6Hh6pxNSScePI9zjKBIUg2,3
6UN73IYd0hZxLi8wFPMQij,9
38T0tPVZHcPZyhtOcCP7pF,3
7j1ZJAbcm4AMBf82jIrAH3,10
5w1KF2w0e8W1EEHsCJYYCf,1
6AQbmUe0Qwf5PZnt4HmTXv,10
3nqQXoyQOWXiESFLlDF1hG,14
0V3wPSX9ygBnCm8psDIegu,10
26b3oVLrRUaaybJulow9kz,1
