,StandardScaler,Power Transformer
MSE_test,20685.276564406435,23564.34575372819
MSE_train,19177.79619088357,22116.82202136159
RMSE_test,143.82376912181948,153.5068264075842
RMSE_train,143.82376912181948,153.5068264075842
MAE,103.95965127526395,97.91364163503185
R2,0.7740373916063117,0.7394082853116619
adjusted R2,0.7730819920594061,0.7383064693611803
