,StandardScaler,Power Transformer
MSE_test,52305.30546035917,60886.7009574536
MSE_train,49747.15936894187,58162.786063163294
RMSE_test,228.70353180560892,246.75230689388417
RMSE_train,228.70353180560892,246.75230689388417
MAE,170.37062119114876,153.50583582589215
R2,0.41385351167063844,0.3146962915100767
adjusted R2,0.41131989595337193,0.3117340691279552
